,artist,track,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,stream,ln_stream
0,$NOT,10,7,0.7580000000000002,0.6343,6.1,-7.2974000000000006,0.21470000000000003,0.259997,0.026274487999999995,0.19971,0.49804999999999994,117.5518,2.695383333333333,112763800.2,18.540805925309556
1,$uicideboy$,10,9,0.7966000000000001,0.6832000000000001,5.4,-6.525800000000001,0.14159,0.16115799999999997,0.0007278330000000001,0.14923,0.33792999999999995,116.809,2.73405,212674813.0,19.175274857549944
2,(G)I-DLE,10,8,0.6914,0.8153,5.4,-3.7568999999999995,0.09679,0.029762,8.739e-06,0.20864,0.4760000000000001,122.9143,3.1518016666666666,130421245.8,18.686280122099625
3,*NSYNC,10,4,0.6224000000000001,0.7697,7.1,-5.798,0.05752,0.154031,0.000177387,0.26643,0.6874,131.8799,3.9256450000000003,142783375.6,18.776839183725784
4,070 Shake,9,7,0.5752222222222222,0.6873333333333334,3.111111111111111,-6.52611111111111,0.11487777777777779,0.06512966666666668,0.005138188888888889,0.12496666666666667,0.23627777777777778,126.64911111111113,3.7325092592592597,45031156.222222224,17.62286516865747
5,112,7,4,0.7264285714285715,0.54,6.714285714285714,-7.548571428571428,0.11128571428571428,0.14744285714285715,1.0014285714285714e-06,0.09345714285714286,0.7344285714285714,111.40771428571428,4.147942857142857,51034060.428571425,17.74800381931562
6,11:11 Music Group,10,10,0.6548,0.46799999999999997,4.8,-11.7097,0.14336,0.4141175,0.15538829,0.18646000000000001,0.47517000000000004,138.3785,2.5783300000000002,17864841.9,16.69834519969436
7,1nonly,10,10,0.7738000000000002,0.7292000000000001,5.2,-7.5266,0.21594000000000002,0.20265999999999998,0.0005498549999999999,0.27208,0.6258999999999999,119.40130000000002,2.4598833333333334,63889185.2,17.972660659327694
8,2 Chainz,9,8,0.7342222222222223,0.6581111111111111,3.4444444444444446,-5.979666666666667,0.26284444444444444,0.07776666666666666,9.876444444444443e-05,0.24337777777777772,0.45744444444444443,117.02244444444445,3.9443425925925926,209749515.2222222,19.161424592091862
9,21 Savage,10,5,0.7443,0.5863,5.7,-7.354000000000001,0.23415999999999998,0.08309470000000001,1.0127e-05,0.18883,0.27759999999999996,132.1893,3.6862850000000003,218641700.1,19.202944875349683
10,24kGoldn,10,7,0.7148999999999999,0.6998000000000001,5.6,-4.4635,0.09128,0.178811,1.0220000000000001e-06,0.17229,0.6789000000000001,128.67059999999998,2.5351733333333333,319617162.3,19.582634469726276
11,2Pac,7,4,0.7945714285714286,0.7558571428571429,3.142857142857143,-5.324714285714285,0.23057142857142857,0.09621285714285714,0.000819367142857143,0.22034285714285717,0.687,103.81400000000001,4.732285714285714,281800917.4285714,19.4567114130253
12,3 Doors Down,8,4,0.514,0.7902499999999999,6.5,-5.734374999999999,0.0393875,0.012718125,0.0518813675,0.147425,0.369875,133.11037499999998,3.9576666666666664,204837249.625,19.1377263175255
13,42 Dugg,10,8,0.7837000000000001,0.5883999999999998,3.8,-7.1668,0.22880000000000003,0.087019,1.93e-06,0.18155000000000002,0.3917,135.66969999999998,2.655701666666667,86460223.0,18.275195016427823
14,5 Seconds of Summer,10,7,0.5453000000000001,0.6487,4.9,-4.9723999999999995,0.11128,0.07517335,4.097e-06,0.15108000000000002,0.4084,134.84550000000002,3.2381599999999997,402526970.2,19.813272659286117
15,50 Cent,10,4,0.7149,0.7083,7.2,-4.2294,0.3338,0.16195999999999997,0.0008026800000000001,0.15867,0.7081,105.61570000000002,3.746291666666667,405956641.4,19.82175691728178
16,6LACK,10,9,0.6700999999999999,0.5279,3.3,-7.529700000000001,0.15122,0.371131,1.8273e-05,0.13429000000000002,0.2933800000000001,117.7039,3.7314366666666663,237950267.3,19.287572248876003
